,accdate,Operator_ID,AccTypeCodeDescr,AccSubTypeCodeDescr,acctype,BAITFISH Code,AccPreventable,Retraining,vehbusno,vehmake,vehyear,Drv_Age,CoDrvSex,Roadway,RoadwayLightConditions,RoadwayWeather,RoadwaySurface,Addr_Type,Neighborhood,LocAddr1,FileNumber,Longitude,Latitude,SpeedLimitCategory,n_accidents_in_0.003,n_accidents_in_0.006,n_accidents_in_0.0015,n_accidents_in_0.00075,n_accidents_in_0.0005,accday,acctime,acctimeperiod,days_pick_start,days_absent,days_excused,days_holiday,days_late,days_medical,days_vacation,days_last_accident,days_employment,freq_absence_one_week,freq_extra_one_week,freq_absence_one_month,freq_extra_one_month,freq_absence_two_month,freq_extra_two_month,accyear,accmonth,accday_
49,2016-07-07 06:45:00,168,22,33,2,8,0,0,769,1,2007,52.0,2,5,2,0,0,0,2,531,560,-77.5955773,43.139529,4,54,128,39,33,1,2016-07-07 00:00:00,06:45,4,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,94,0.0,0.0,0.0,0.0,0.0,0.0,2016,7,7
50,2016-07-07 17:43:00,41,22,33,2,8,0,0,901,1,2011,66.0,2,5,2,0,0,1,34,746,563,-77.62300160000001,43.139125,4,3,32,2,2,2,2016-07-07 00:00:00,17:43,2,10.0,63.0,79.0,-1.0,-1.0,-1.0,39.0,-1.0,94,0.0,0.14,0.0,0.13,0.12,0.1,2016,7,7
51,2016-07-07 15:41:00,45,22,33,2,3,1,1,513,1,2009,54.0,1,5,2,0,0,0,24,496,561,-77.6342145,43.1504933,4,52,103,17,8,8,2016-07-07 00:00:00,15:41,2,10.0,6.0,7.0,47.0,-1.0,-1.0,34.0,-1.0,94,0.14,0.0,0.07,0.03,0.07,0.02,2016,7,7
52,2016-07-08 16:10:00,67,22,33,2,8,0,0,1313,7,2012,54.0,2,5,2,0,0,0,23,155,562,-77.6387167,43.1936258,4,80,117,39,31,30,2016-07-08 00:00:00,16:10,2,11.0,49.0,3.0,-1.0,-1.0,-1.0,5.0,-1.0,95,0.43,0.0,0.27,0.0,0.28,0.0,2016,7,8
53,2016-07-13 12:41:00,312,1,2,3,4,1,1,920,1,2011,27.0,2,5,2,0,0,0,25,503,564,-77.63937229999999,43.1805938,4,60,136,42,8,8,2016-07-13 00:00:00,12:41,2,16.0,18.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,0.0,0.0,0.03,0.0,0.1,0.0,2016,7,13
54,2016-07-15 15:39:00,97,20,18,2,8,0,0,1601,4,2016,60.0,2,5,2,0,0,0,22,175,565,-77.5666409,43.159595,4,25,65,19,17,12,2016-07-15 00:00:00,15:39,2,18.0,7.0,39.0,-1.0,-1.0,-1.0,12.0,-1.0,102,0.0,0.0,0.23,0.0,0.17,0.0,2016,7,15
55,2016-07-18 11:13:00,125,3,4,2,14,1,1,918,1,2011,65.0,2,5,2,4,4,0,25,609,566,-77.579048,43.1615558,4,9,58,6,1,1,2016-07-18 00:00:00,11:13,1,21.0,1.0,-1.0,-1.0,-1.0,-1.0,36.0,-1.0,105,0.14,0.0,0.07,0.0,0.17,0.0,2016,7,18
56,2016-07-19 14:55:00,83,22,33,1,6,1,1,1602,4,2016,48.0,2,5,2,0,0,0,17,260,567,-77.6060856,43.0938315,3,3,21,0,0,0,2016-07-19 00:00:00,14:55,2,22.0,24.0,91.0,-1.0,12.0,-1.0,51.0,-1.0,106,0.0,0.0,0.07,0.0,0.18,0.0,2016,7,19
57,2016-07-20 16:11:00,84,22,33,2,8,0,0,771,1,2007,66.0,2,5,2,0,0,0,35,238,568,-77.5609344,43.1764525,4,30,78,17,10,1,2016-07-20 00:00:00,16:11,2,23.0,32.0,82.0,-1.0,-1.0,-1.0,17.0,-1.0,107,0.0,0.0,0.2,0.0,0.23,0.03,2016,7,20
58,2016-07-21 17:05:00,246,20,17,2,8,0,0,1412,7,2013,40.0,2,5,2,0,0,0,25,71,569,-77.6082948,43.15408009999999,4,26,183,20,1,0,2016-07-21 00:00:00,17:05,2,24.0,33.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,108,0.0,0.29,0.0,0.1,0.03,0.05,2016,7,21
