,accident_date,operator_id,days_pick_start,days_absent,days_excused,days_holiday,days_late,days_medical,days_vacation,days_last_accident,days_employment,freq_absence_one_week,freq_extra_one_week,freq_absence_one_month,freq_extra_one_month,freq_absence_two_month,freq_extra_two_month,accident_type
468,2018-10-08,276,35,72,8,767,-1,131,43,214,917,0.0,0.0,0.07,0.0,0.15,0.02,0
469,2019-05-07,276,36,34,88,12,-1,210,79,211,1128,0.0,0.0,0.03,0.0,0.03,0.0,0
470,2016-08-07,278,41,51,52,-1,-1,-1,-1,-1,125,0.0,0.0,0.0,0.0,0.07,0.0,1
471,2016-11-07,278,62,36,19,8,-1,-1,22,92,217,0.0,0.0,0.33,0.0,0.35,0.0,0
472,2018-02-13,279,43,14,4,-1,236,-1,107,-1,680,0.14,0.0,0.17,0.0,0.1,0.0,0
473,2019-01-07,279,126,152,78,303,130,19,71,328,1008,0.0,0.0,0.37,0.0,0.68,0.0,0
474,2019-02-19,279,169,40,2,346,173,62,114,43,1051,0.14,0.0,0.13,0.0,0.17,0.0,0
475,2017-12-01,281,88,111,49,53,160,-1,54,-1,606,0.0,0.0,0.0,0.0,0.13,0.0,0
476,2016-06-16,282,73,26,28,-1,-1,-1,46,-1,73,0.0,0.14,0.1,0.17,0.18,0.13,0
477,2016-11-24,282,79,187,189,-1,-1,-1,207,161,234,0.0,0.14,0.0,0.03,0.0,0.02,1
478,2019-03-13,282,65,1026,35,121,-1,124,143,839,1073,0.0,0.0,0.0,0.03,0.02,0.02,1
479,2017-09-21,283,17,3,39,177,96,-1,53,-1,535,0.14,0.0,0.03,0.0,0.18,0.0,0
480,2018-07-10,283,15,120,1,104,152,-1,9,292,827,0.14,0.0,0.3,0.0,0.18,0.0,0
481,2018-11-05,283,63,28,7,222,270,-1,127,118,945,0.0,0.0,0.2,0.0,0.18,0.0,0
482,2019-02-13,285,37,104,43,165,111,96,59,-1,1045,0.0,0.0,0.0,0.0,0.05,0.0,1
483,2019-05-03,285,32,16,60,244,190,175,138,79,1124,0.0,0.0,0.1,0.0,0.07,0.0,1
484,2019-06-11,285,71,3,99,283,229,29,177,39,1163,0.57,0.0,0.2,0.0,0.2,0.0,0
485,2019-04-11,286,10,8,83,150,590,-1,207,-1,1102,0.0,0.0,0.1,0.0,0.05,0.0,0
486,2016-10-12,288,36,7,-1,33,73,-1,80,-1,191,0.0,0.0,0.07,0.0,0.07,0.0,0
487,2018-02-09,288,39,24,6,316,457,-1,201,485,676,0.14,0.0,0.1,0.0,0.1,0.0,0
488,2018-06-29,288,4,38,17,456,597,-1,47,140,816,0.0,0.0,0.03,0.0,0.15,0.0,0
489,2018-08-02,288,38,16,7,490,631,-1,81,34,850,0.0,0.0,0.1,0.0,0.07,0.0,1
490,2018-05-24,289,52,1,22,359,656,-1,46,-1,780,0.29,0.0,0.1,0.0,0.17,0.0,0
491,2019-01-25,289,18,150,1,171,49,-1,159,246,1026,0.14,0.0,0.03,0.0,0.07,0.0,1
492,2016-04-26,290,22,-1,-1,-1,-1,-1,-1,-1,22,0.0,0.14,0.0,0.13,0.0,0.13,1
493,2018-07-27,290,32,26,21,-1,629,-1,306,822,844,0.0,0.0,0.07,0.0,0.03,0.02,1
494,2016-06-24,292,81,6,26,-1,-1,61,-1,-1,81,0.14,0.0,0.07,0.0,0.05,0.0,0
495,2016-08-08,292,42,2,35,-1,-1,106,22,45,126,0.14,0.0,0.27,0.0,0.17,0.0,1
496,2018-09-29,292,26,29,6,472,141,100,34,782,908,0.14,0.0,0.2,0.0,0.23,0.0,1
497,2018-06-25,294,84,185,308,-1,777,-1,-1,-1,812,0.0,0.0,0.0,0.0,0.0,0.0,0
498,2018-11-09,294,67,7,445,-1,28,-1,-1,137,949,0.0,0.0,0.07,0.0,0.03,0.0,0
499,2017-12-16,296,103,55,24,199,138,292,125,-1,621,0.0,0.14,0.07,0.07,0.05,0.03,0
500,2019-01-09,296,2,5,32,42,126,263,143,389,1010,0.29,0.0,0.2,0.0,0.17,0.0,0
501,2017-03-01,297,58,14,64,157,263,-1,185,-1,331,0.0,0.0,0.03,0.0,0.03,0.0,1
